,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3665.3539290554477,30.986206655290815,-17.67,-18455.986792198717
1,2,-2285.110424113575,21.89345781370251,-32.1,-20347.30510962826
2,3,-2670.5054732956464,29.740870905034452,-53.7,-20347.30510962826
3,4,-2960.5617939402523,37.95033097913593,-76.03,-20413.860797119258
4,5,-3454.741989530031,42.50163569331349,-103.0,-29993.909343898355
5,6,-4086.37232017763,42.902397924138974,-114.27,-29993.909343898355
6,7,-4024.588905364483,41.91875188756312,-139.4,-30987.13084532696
7,8,-4295.259104005819,43.90244618017829,-154.31,-30987.13084532696
8,9,-4516.492439916426,45.281247701705894,-179.74,-30987.13084532696
9,10,-4621.954096431507,43.07572224295483,-176.62,-30987.13084532696
